,t,x,y,z,x_err,y_err,z_err
0,0.0,1.0,1.0,1.0,1.0,1.0,1.01
1,0.01,1.012502,1.260005,0.984891,1.012497,1.259906,0.994627
2,0.02,1.048747,1.524097,0.973118,1.048729,1.523897,0.982596
3,0.03,1.107219,1.7983,0.965171,1.107178,1.797994,0.974397
4,0.04,1.186885,2.088526,0.96176,1.186814,2.088105,0.970738
5,0.05,1.287374,2.400411,0.963878,1.287263,2.399861,0.972612
6,0.06,1.409276,2.738939,0.972684,1.409116,2.738243,0.981176
7,0.07,1.553512,3.109387,0.989766,1.553294,3.108524,0.998018
8,0.08,1.721238,3.517469,1.017197,1.720949,3.516415,1.025208
9,0.09,1.913841,3.969342,1.057536,1.913469,3.968067,1.065303
10,0.1,2.133162,4.471212,1.114279,2.132692,4.469683,1.121796
11,0.11,2.381936,5.029357,1.191105,2.381352,5.027537,1.198363
12,0.12,2.663248,5.650577,1.292517,2.66253,5.648424,1.2995
13,0.13,2.980434,6.341894,1.424869,2.979561,6.339361,1.431558
14,0.14,3.337087,7.110549,1.59637,3.336035,7.107584,1.602733
15,0.15,3.737052,7.964005,1.817079,3.735795,7.960552,1.823076
16,0.16,4.184414,8.909868,2.098924,4.182924,8.905869,2.104502
17,0.17,4.681328,9.944934,2.458516,4.679578,9.940356,2.463599
18,0.18,5.233929,11.079944,2.913592,5.231875,11.074687,2.918099
19,0.19,5.849746,12.330208,3.483629,5.847343,12.324193,3.487451
20,0.2,6.534307,13.700662,4.192512,6.531516,13.693837,4.195517
21,0.21,7.291146,15.185868,5.068543,7.28793,15.178216,5.070567
22,0.22,8.121794,16.770017,6.144438,8.118122,16.761563,6.145281
23,0.23,9.025787,18.426925,7.457324,9.021633,18.417742,7.456749
24,0.24,10.000661,20.120038,9.048743,9.996007,20.110254,9.046473
25,0.25,11.041952,21.802426,10.964651,11.036789,21.79223,10.960364
26,0.26,12.143102,23.416967,13.254799,12.137436,23.40661,13.248158
27,0.27,13.288038,24.89101,15.935388,13.281941,24.880939,15.926249
28,0.28,14.451614,26.101599,19.007311,14.445181,26.092475,18.995497
29,0.29,15.602306,26.921658,22.446178,15.595684,26.914165,22.431704
30,0.3,16.700023,27.234791,26.183011,16.693413,27.229638,26.166121
31,0.31,17.696104,26.935286,30.104248,17.689771,26.933206,30.085446
32,0.32,18.534376,25.924746,34.053878,18.528622,25.926588,34.033894
33,0.33,19.164468,24.131941,37.844151,19.159613,24.137975,37.824097
34,0.34,19.530674,21.664408,41.234749,19.527061,21.674278,41.215901
35,0.35,19.593584,18.665362,44.032605,19.591467,18.678633,44.016037
36,0.36,19.336529,15.279505,46.111306,19.336062,15.29566,46.097836
37,0.37,18.76558,11.65303,47.411086,18.766801,11.671459,47.401226
38,0.38,17.906416,7.949044,47.935003,17.90931,7.968665,47.928995
39,0.39,16.78603,4.432841,47.734709,16.790504,4.452255,47.732416
40,0.4,15.455465,1.275249,46.931822,15.46131,1.293585,46.932782
41,0.41,13.9719,-1.427082,45.67301,13.978866,-1.410441,45.67656
42,0.42,12.394614,-3.634946,44.123474,12.402407,-3.620314,44.128734
43,0.43,10.781805,-5.364097,42.445592,10.790145,-5.351501,42.451851
44,0.44,9.17921,-6.662696,40.735228,9.187861,-6.652031,40.741977
45,0.45,7.624047,-7.589905,39.069569,7.632803,-7.580979,39.076349
46,0.46,6.144059,-8.21245,37.502394,6.152757,-8.20498,37.50886
47,0.47,4.757518,-8.603894,36.063482,4.76604,-8.597537,36.069417
48,0.48,3.475167,-8.822617,34.762583,3.483435,-8.817173,34.767877
49,0.49,2.300095,-8.91254,33.596385,2.308066,-8.907798,33.600983
50,0.5,1.231983,-8.912662,32.557546,1.239625,-8.908438,32.561414
51,0.51,0.268241,-8.85445,31.636264,0.275539,-8.850593,31.639395
52,0.52,-0.595987,-8.76184,30.820276,-0.589035,-8.75824,30.822693
53,0.53,-1.367844,-8.651439,30.095041,-1.361219,-8.648021,30.09679
54,0.54,-2.05602,-8.53651,29.44871,-2.049702,-8.533212,29.449808
55,0.55,-2.66808,-8.425074,28.871763,-2.662055,-8.421871,28.87224
56,0.56,-3.211322,-8.322741,28.355287,-3.205574,-8.319611,28.355171
57,0.57,-3.693087,-8.234082,27.891574,-3.687597,-8.23101,27.890897
58,0.58,-4.120759,-8.162622,27.474129,-4.115505,-8.159601,27.472919
59,0.59,-4.501761,-8.110848,27.097662,-4.496719,-8.107875,27.095944
60,0.6,-4.84354,-8.080039,26.757947,-4.838684,-8.077127,26.755749
61,0.61,-5.15215,-8.069259,26.451322,-5.147477,-8.066431,26.448665
62,0.62,-5.431524,-8.077705,26.176124,-5.427032,-8.074981,26.173024
63,0.63,-5.685407,-8.10463,25.93101,-5.681096,-8.102033,25.927488
64,0.64,-5.91752,-8.149142,25.71466,-5.913389,-8.146698,25.71074
65,0.65,-6.131559,-8.210208,25.52578,-6.127605,-8.20794,25.521492
66,0.66,-6.331196,-8.286647,25.363101,-6.327414,-8.28458,25.358477
67,0.67,-6.520076,-8.377136,25.225379,-6.516461,-8.375295,25.220455
68,0.68,-6.701575,-8.480143,25.111571,-6.698131,-8.478555,25.10638
69,0.69,-6.876929,-8.593819,25.022174,-6.873671,-8.592509,25.016742
70,0.7,-7.04699,-8.716636,24.957786,-7.043933,-8.715628,24.952147
71,0.71,-7.21266,-8.846992,24.918691,-7.209817,-8.846308,24.91288
72,0.72,-7.374772,-8.983139,24.904931,-7.372155,-8.982803,24.898993
73,0.73,-7.534088,-9.123188,24.916314,-7.53171,-9.123221,24.910295
74,0.74,-7.691302,-9.265108,24.952411,-7.689173,-9.265529,24.946362
75,0.75,-7.847036,-9.406722,25.012554,-7.845168,-9.407546,25.006531
76,0.76,-8.001844,-9.545717,25.095842,-8.000246,-9.546956,25.089902
77,0.77,-8.155695,-9.680264,25.201498,-8.154383,-9.681921,25.195696
78,0.78,-8.307713,-9.808292,25.329158,-8.306703,-9.810372,25.323549
79,0.79,-8.457004,-9.927426,25.47814,-8.456308,-9.929924,25.472783
80,0.8,-8.602663,-10.035443,25.647372,-8.602293,-10.038346,25.642327
81,0.81,-8.743778,-10.130272,25.835392,-8.743741,-10.133561,25.83072
82,0.82,-8.879426,-10.209994,26.04035,-8.879726,-10.213642,26.036113
83,0.83,-9.008678,-10.272844,26.260008,-9.009314,-10.276817,26.256263
84,0.84,-9.130593,-10.317208,26.491737,-9.131561,-10.321465,26.488541
85,0.85,-9.244222,-10.341626,26.73252,-9.245515,-10.34612,26.729924
86,0.86,-9.348607,-10.344789,26.978953,-9.350212,-10.349466,26.977
87,0.87,-9.442887,-10.32546,27.227794,-9.444785,-10.330262,27.226512
88,0.88,-9.52605,-10.283105,27.476603,-9.528225,-10.287955,27.476017
89,0.89,-9.596581,-10.218363,27.72146,-9.599012,-10.223185,27.721587
90,0.9,-9.653213,-10.132117,27.958632,-9.655873,-10.13684,27.959471
91,0.91,-9.69497,-10.025452,28.184694,-9.697825,-10.030008,28.186231
92,0.92,-9.721162,-9.899653,28.396527,-9.724174,-9.903979,28.398737
93,0.93,-9.731386,-9.75621,28.591322,-9.734516,-9.760246,28.594168
94,0.94,-9.725529,-9.596813,28.766576,-9.728731,-9.600503,28.770011
95,0.95,-9.703763,-9.423353,28.920093,-9.706993,-9.426648,28.924062
96,0.96,-9.666549,-9.237924,29.049986,-9.669762,-9.240778,29.054429
97,0.97,-9.614636,-9.042824,29.154675,-9.617786,-9.045195,29.159525
98,0.98,-9.54906,-8.840548,29.232886,-9.552102,-8.842402,29.238074
99,0.99,-9.471135,-8.633806,29.283662,-9.47403,-8.635112,29.289116
100,1.0,-9.381314,-8.426558,29.307385,-9.38403,-8.427291,29.313021
101,1.01,-9.280391,-8.222106,29.304453,-9.282889,-8.222269,29.310195
102,1.02,-9.169907,-8.022731,29.274916,-9.172153,-8.022335,29.28069
103,1.03,-9.051398,-7.830549,29.219195,-9.053364,-7.829611,29.224926
104,1.04,-8.9264,-7.64751,29.138078,-8.928064,-7.646053,29.143697
105,1.05,-8.796449,-7.475396,29.032726,-8.797791,-7.473451,29.038162
106,1.06,-8.663077,-7.315828,28.904666,-8.664085,-7.313427,28.909857
107,1.07,-8.527815,-7.170257,28.755794,-8.528479,-7.167439,28.760682
108,1.08,-8.392193,-7.039971,28.58838,-8.39251,-7.036777,28.592913
109,1.09,-8.25774,-6.926092,28.405057,-8.257708,-6.922566,28.409193
110,1.1,-8.125982,-6.829577,28.208832,-8.125605,-6.825762,28.212536
111,1.11,-7.998445,-6.751215,28.003081,-7.997729,-6.747156,28.006327
112,1.12,-7.876644,-6.69154,27.791448,-7.875601,-6.687283,27.794224
113,1.13,-7.761764,-6.648585,27.57479,-7.760408,-6.64417,27.577079
114,1.14,-7.65464,-6.621719,27.354,-7.652988,-6.617185,27.355789
115,1.15,-7.556051,-6.611255,27.130896,-7.554122,-6.60664,27.132176
116,1.16,-7.466696,-6.617311,26.907262,-7.464511,-6.612649,26.908028
117,1.17,-7.387197,-6.63981,26.684851,-7.384775,-6.635135,26.685101
